firefox-i18n-br 147.0.4-1
firefox-i18n-bs 147.0.4-1
firefox-i18n-ca 147.0.4-1
firefox-i18n-ca-valencia 147.0.4-1
firefox-i18n-cak 147.0.4-1
firefox-i18n-cs 147.0.4-1
firefox-i18n-cy 147.0.4-1
firefox-i18n-da 147.0.4-1
firefox-i18n-de 147.0.4-1
firefox-i18n-dsb 147.0.4-1
firefox-i18n-el 147.0.4-1
firefox-i18n-en-ca 147.0.4-1
firefox-i18n-en-gb 147.0.4-1
firefox-i18n-en-us 147.0.4-1
firefox-i18n-eo 147.0.4-1
firefox-i18n-es-ar 147.0.4-1
firefox-i18n-es-cl 147.0.4-1
firefox-i18n-es-es 147.0.4-1
firefox-i18n-es-mx 147.0.4-1
firefox-i18n-et 147.0.4-1
firefox-i18n-eu 147.0.4-1
firefox-i18n-fa 147.0.4-1
firefox-i18n-ff 147.0.4-1
firefox-i18n-fi 147.0.4-1
firefox-i18n-fr 147.0.4-1
firefox-i18n-fur 147.0.4-1
firefox-i18n-fy-nl 147.0.4-1
firefox-i18n-ga-ie 147.0.4-1
firefox-i18n-gd 147.0.4-1
firefox-i18n-gl 147.0.4-1
firefox-i18n-gn 147.0.4-1
firefox-i18n-gu-in 147.0.4-1
firefox-i18n-he 147.0.4-1
firefox-i18n-hi-in 147.0.4-1
firefox-i18n-hr 147.0.4-1
firefox-i18n-hsb 147.0.4-1
firefox-i18n-hu 147.0.4-1
firefox-i18n-hy-am 147.0.4-1
firefox-i18n-ia 147.0.4-1
firefox-i18n-id 147.0.4-1
firefox-i18n-is 147.0.4-1
firefox-i18n-it 147.0.4-1
firefox-i18n-ja 147.0.4-1
firefox-i18n-ka 147.0.4-1
firefox-i18n-kab 147.0.4-1
firefox-i18n-kk 147.0.4-1
firefox-i18n-km 147.0.4-1
firefox-i18n-kn 147.0.4-1
firefox-i18n-ko 147.0.4-1
firefox-i18n-lij 147.0.4-1
firefox-i18n-lt 147.0.4-1
firefox-i18n-lv 147.0.4-1
firefox-i18n-mk 147.0.4-1
firefox-i18n-mr 147.0.4-1
firefox-i18n-ms 147.0.4-1
firefox-i18n-my 147.0.4-1
firefox-i18n-nb-no 147.0.4-1
firefox-i18n-ne-np 147.0.4-1
firefox-i18n-nl 147.0.4-1
firefox-i18n-nn-no 147.0.4-1
firefox-i18n-oc 147.0.4-1
firefox-i18n-pa-in 147.0.4-1
firefox-i18n-pl 147.0.4-1
firefox-i18n-pt-br 147.0.4-1
firefox-i18n-pt-pt 147.0.4-1
firefox-i18n-rm 147.0.4-1
firefox-i18n-ro 147.0.4-1
firefox-i18n-ru 147.0.4-1
firefox-i18n-sat 147.0.4-1
firefox-i18n-sc 147.0.4-1
firefox-i18n-sco 147.0.4-1
firefox-i18n-si 147.0.4-1
firefox-i18n-sk 147.0.4-1
firefox-i18n-skr 147.0.4-1
firefox-i18n-sl 147.0.4-1
firefox-i18n-son 147.0.4-1
firefox-i18n-sq 147.0.4-1
firefox-i18n-sr 147.0.4-1
firefox-i18n-sv-se 147.0.4-1
firefox-i18n-szl 147.0.4-1
firefox-i18n-ta 147.0.4-1
firefox-i18n-te 147.0.4-1
firefox-i18n-tg 147.0.4-1
firefox-i18n-th 147.0.4-1
firefox-i18n-tl 147.0.4-1
firefox-i18n-tr 147.0.4-1
firefox-i18n-trs 147.0.4-1
firefox-i18n-uk 147.0.4-1
firefox-i18n-ur 147.0.4-1
firefox-i18n-uz 147.0.4-1
firefox-i18n-vi 147.0.4-1
firefox-i18n-xh 147.0.4-1
firefox-i18n-zh-cn 147.0.4-1
firefox-i18n-zh-tw 147.0.4-1
flac 1.5.0-1
flex 2.6.4-5
fltk 1.4.4-3
fltk1.3 1.3.11-3
fluidsynth 2.5.2-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freecad 1.0.2-8
freeglut 3.8.0-1
freeimage 3.18.0-23
freerdp 2:3.22.0-2
freetype2 2.14.1-2
frei0r-plugins 2.5.4-1
fribidi 1.0.16-2
fuse-common 3.18.1-1
fuse2 2.9.9-5
fuse3 3.18.1-1
fzf 0.68.0-1
garcon 4.20.0-2
gawk 5.4.0-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gconf 3.2.6+11+g07808097-12
gconf-debug 3.2.6+11+g07808097-12
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdal 3.12.2-1
gdb 17.1-2
gdb-common 17.1-2
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gegl 0.4.66-2
geoclue 2.8.0-1
geocode-glib-2 3.26.4-5
geocode-glib-common 3.26.4-5
geoip 1.6.12-3
geoip-database 20260204-1
geos 3.14.1-1
gettext 1.0-2
gexiv2 0.16.0-1
gfxstream 0.1.2-2
ghc-libs 9.6.6-1
ghostscript 10.06.0-1
giflib 5.2.2-2
gimp 3.0.8-2
girara 2026.02.04-2
git 2.53.0-1
git-filter-repo 2.47.0-3
git-lfs 3.7.1-1
github-cli 2.87.3-1
gjs 2:1.86.0-1
gksu 2.0.2-6
gksu-debug 2.0.2-6
gl2ps 1.4.2-3
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.4-1
glib2-devel 2.86.4-1
glib2-docs 2.86.4-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.3-1
glow 2.1.1-1
glslang 1:1.4.341.0-2
glu 9.0.3-3
glycin 2.0.8-1
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-boxes 49.1-1
gnome-calculator 49.2-1
gnome-clocks 49.0-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-menus 3.38.1-1
gnome-themes-extra 1:3.28-1
gnome-video-effects 1:0.6.0-2
gnu-free-fonts 20120503-9
gnu-netcat 0.7.1-11
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnustep-base 1.31.1-2
gnutls 3.8.12-2
go 2:1.26.0-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gom 0.5.5-2
google-chrome 141.0.7390.54-1
google-earth-pro 7.3.6.10201-2
gparted 1.8.0-1
gperf 3.3-2
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpick 0.4-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
granite 1:6.2.0-1
graphene 1.10.8-2
graphicsmagick 1.3.46-1
graphite 1:1.3.14-6
graphviz 14.1.2-1
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
groff 1.23.0-8
grub 2:2.14-1
grub-customizer 5.2.5-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.23-1
gspell 1.14.2-1
gssdp 1.6.4-1
gst-plugin-gtk 1.28.0-2
gst-plugins-bad 1.28.0-2
gst-plugins-bad-libs 1.28.0-2
gst-plugins-base 1.28.0-2
gst-plugins-base-libs 1.28.0-2
gst-plugins-good 1.28.0-2
gstreamer 1.28.0-2
gtest 1.17.0-2
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkglext 1.2.0-20
gtkglext-debug 1.2.0-20
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
guvcview-common 2.2.1-2
gvfs 1.58.1-1
gvfs-afc 1.58.1-1
gvfs-goa 1.58.1-1
gvfs-google 1.58.1-1
gvfs-gphoto2 1.58.1-1
gvfs-mtp 1.58.1-1
gvfs-nfs 1.58.1-1
gvfs-smb 1.58.1-1
gzip 1.14-2
hamlib 4.6.5-2
harfbuzz 12.3.2-1
harfbuzz-icu 12.3.2-1
haskell-aeson 2.2.0.0-2
haskell-aeson-pretty 0.8.10-145
haskell-ansi-terminal 1.1-2
haskell-ansi-terminal-types 1.1-2
haskell-ansi-wl-pprint 1.0.2-237
haskell-appar 0.1.8-16
